timepoint: 20, count_one_third: 18, count_two_third: 14, count_max: 8
timepoint: 30, count_one_third: 18, count_two_third: 14, count_max: 8
timepoint: 40, count_one_third: 17, count_two_third: 15, count_max: 8
timepoint: 50, count_one_third: 18, count_two_third: 14, count_max: 8
timepoint: 60, count_one_third: 18, count_two_third: 15, count_max: 7
timepoint: 70, count_one_third: 17, count_two_third: 16, count_max: 8
timepoint: 80, count_one_third: 18, count_two_third: 14, count_max: 10
timepoint: 90, count_one_third: 18, count_two_third: 16, count_max: 7
timepoint: 100, count_one_third: 18, count_two_third: 15, count_max: 8
timepoint: 2140, count_one_third: 4, count_two_third: 3, count_max: 2
timepoint: 21, count_one_third: 18, count_two_third: 14, count_max: 8
timepoint: 31, count_one_third: 19, count_two_third: 14, count_max: 7
timepoint: 41, count_one_third: 17, count_two_third: 15, count_max: 8
timepoint: 51, count_one_third: 16, count_two_third: 15, count_max: 8
timepoint: 61, count_one_third: 17, count_two_third: 15, count_max: 8
timepoint: 71, count_one_third: 18, count_two_third: 14, count_max: 10
timepoint: 81, count_one_third: 18, count_two_third: 15, count_max: 6
timepoint: 91, count_one_third: 18, count_two_third: 14, count_max: 7
timepoint: 101, count_one_third: 17, count_two_third: 15, count_max: 7
timepoint: 2141, count_one_third: 17, count_two_third: 13, count_max: 7
timepoint: 22, count_one_third: 17, count_two_third: 14, count_max: 8
timepoint: 32, count_one_third: 18, count_two_third: 15, count_max: 8
timepoint: 42, count_one_third: 18, count_two_third: 15, count_max: 9
timepoint: 52, count_one_third: 17, count_two_third: 15, count_max: 7
timepoint: 62, count_one_third: 18, count_two_third: 14, count_max: 7
timepoint: 72, count_one_third: 17, count_two_third: 15, count_max: 7
timepoint: 82, count_one_third: 17, count_two_third: 15, count_max: 7
timepoint: 92, count_one_third: 18, count_two_third: 15, count_max: 8
timepoint: 102, count_one_third: 5, count_two_third: 3, count_max: 2
timepoint: 2142, count_one_third: 17, count_two_third: 14, count_max: 7
timepoint: 23, count_one_third: 17, count_two_third: 14, count_max: 8
timepoint: 33, count_one_third: 16, count_two_third: 15, count_max: 7
timepoint: 43, count_one_third: 17, count_two_third: 13, count_max: 7
timepoint: 53, count_one_third: 18, count_two_third: 14, count_max: 9
timepoint: 63, count_one_third: 17, count_two_third: 16, count_max: 7
timepoint: 73, count_one_third: 16, count_two_third: 15, count_max: 6
timepoint: 83, count_one_third: 18, count_two_third: 14, count_max: 8
