timepoint: 2150, count_one_third: 20, count_two_third: 19, count_max: 20
timepoint: 2160, count_one_third: 20, count_two_third: 19, count_max: 19
timepoint: 2170, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 2180, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 2190, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 2200, count_one_third: 19, count_two_third: 20, count_max: 20
timepoint: 2210, count_one_third: 19, count_two_third: 20, count_max: 20
timepoint: 91, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 101, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 2141, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 2151, count_one_third: 19, count_two_third: 20, count_max: 20
timepoint: 2161, count_one_third: 19, count_two_third: 20, count_max: 20
timepoint: 2171, count_one_third: 19, count_two_third: 19, count_max: 20
timepoint: 2181, count_one_third: 20, count_two_third: 19, count_max: 20
timepoint: 2191, count_one_third: 20, count_two_third: 19, count_max: 19
timepoint: 2201, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 2211, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 92, count_one_third: 20, count_two_third: 18, count_max: 19
timepoint: 102, count_one_third: 5, count_two_third: 5, count_max: 4
timepoint: 2142, count_one_third: 20, count_two_third: 19, count_max: 18
timepoint: 2152, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 2162, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 2172, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 2182, count_one_third: 19, count_two_third: 20, count_max: 20
timepoint: 2192, count_one_third: 19, count_two_third: 20, count_max: 20
timepoint: 2202, count_one_third: 19, count_two_third: 19, count_max: 20
timepoint: 2212, count_one_third: 20, count_two_third: 19, count_max: 20
timepoint: 93, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 2143, count_one_third: 19, count_two_third: 20, count_max: 19
timepoint: 2153, count_one_third: 19, count_two_third: 19, count_max: 20
timepoint: 2163, count_one_third: 19, count_two_third: 19, count_max: 20
timepoint: 2173, count_one_third: 20, count_two_third: 19, count_max: 19
timepoint: 2183, count_one_third: 20, count_two_third: 19, count_max: 19
timepoint: 2193, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 2203, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 2213, count_one_third: 19, count_two_third: 20, count_max: 20
timepoint: 94, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 2144, count_one_third: 20, count_two_third: 20, count_max: 17
