timepoint: 60, count_one_third: 20, count_two_third: 19, count_max: 14
timepoint: 70, count_one_third: 20, count_two_third: 18, count_max: 16
timepoint: 80, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 90, count_one_third: 20, count_two_third: 20, count_max: 15
timepoint: 100, count_one_third: 19, count_two_third: 20, count_max: 16
timepoint: 2140, count_one_third: 4, count_two_third: 4, count_max: 3
timepoint: 2150, count_one_third: 20, count_two_third: 19, count_max: 15
timepoint: 2160, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 2170, count_one_third: 20, count_two_third: 20, count_max: 15
timepoint: 2180, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 61, count_one_third: 20, count_two_third: 18, count_max: 13
timepoint: 71, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 81, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 91, count_one_third: 20, count_two_third: 20, count_max: 14
timepoint: 101, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 2141, count_one_third: 19, count_two_third: 20, count_max: 16
timepoint: 2151, count_one_third: 19, count_two_third: 20, count_max: 15
timepoint: 2161, count_one_third: 19, count_two_third: 19, count_max: 17
timepoint: 2171, count_one_third: 20, count_two_third: 19, count_max: 17
timepoint: 2181, count_one_third: 20, count_two_third: 19, count_max: 15
timepoint: 62, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 72, count_one_third: 20, count_two_third: 20, count_max: 15
timepoint: 82, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 92, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 102, count_one_third: 6, count_two_third: 5, count_max: 5
timepoint: 2142, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 2152, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 2162, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 2172, count_one_third: 19, count_two_third: 20, count_max: 17
timepoint: 2182, count_one_third: 19, count_two_third: 20, count_max: 18
timepoint: 53, count_one_third: 6, count_two_third: 6, count_max: 7
timepoint: 63, count_one_third: 18, count_two_third: 17, count_max: 10
timepoint: 73, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 83, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 93, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 2143, count_one_third: 19, count_two_third: 19, count_max: 17
timepoint: 2153, count_one_third: 19, count_two_third: 19, count_max: 20
timepoint: 2163, count_one_third: 20, count_two_third: 19, count_max: 17
timepoint: 2173, count_one_third: 20, count_two_third: 19, count_max: 16
timepoint: 2183, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 54, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 64, count_one_third: 20, count_two_third: 19, count_max: 9
timepoint: 74, count_one_third: 20, count_two_third: 19, count_max: 15
timepoint: 84, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 94, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 2144, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 2154, count_one_third: 20, count_two_third: 20, count_max: 14
timepoint: 2164, count_one_third: 19, count_two_third: 20, count_max: 17
timepoint: 2174, count_one_third: 19, count_two_third: 20, count_max: 17
timepoint: 2184, count_one_third: 19, count_two_third: 19, count_max: 18
timepoint: 55, count_one_third: 20, count_two_third: 20, count_max: 12
timepoint: 65, count_one_third: 18, count_two_third: 13, count_max: 12
timepoint: 75, count_one_third: 20, count_two_third: 20, count_max: 15
timepoint: 85, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 95, count_one_third: 20, count_two_third: 19, count_max: 16
timepoint: 2145, count_one_third: 20, count_two_third: 19, count_max: 16
timepoint: 2155, count_one_third: 20, count_two_third: 19, count_max: 17
timepoint: 2165, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 2175, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 2185, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 56, count_one_third: 20, count_two_third: 19, count_max: 16
timepoint: 66, count_one_third: 16, count_two_third: 16, count_max: 6
timepoint: 76, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 86, count_one_third: 20, count_two_third: 20, count_max: 16
