timepoint: 2230, count_one_third: 19, count_two_third: 20, count_max: 20
timepoint: 2240, count_one_third: 19, count_two_third: 19, count_max: 18
timepoint: 0, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 10, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 20, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 30, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 40, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 50, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 60, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 70, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 2231, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 2241, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 1, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 11, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 21, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 31, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 41, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 51, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 61, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 71, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 2232, count_one_third: 20, count_two_third: 19, count_max: 20
timepoint: 2242, count_one_third: 20, count_two_third: 19, count_max: 17
timepoint: 2, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 12, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 22, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 32, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 42, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 52, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 62, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 72, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 2233, count_one_third: 19, count_two_third: 20, count_max: 20
timepoint: 2243, count_one_third: 1, count_two_third: 2, count_max: 1
timepoint: 3, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 13, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 23, count_one_third: 20, count_two_third: 20, count_max: 15
timepoint: 33, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 43, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 53, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 63, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 73, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 2234, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 4, count_one_third: 21, count_two_third: 20, count_max: 17
timepoint: 14, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 24, count_one_third: 20, count_two_third: 20, count_max: 15
timepoint: 34, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 44, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 54, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 64, count_one_third: 19, count_two_third: 20, count_max: 18
timepoint: 74, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 2225, count_one_third: 0, count_two_third: 0, count_max: 1
timepoint: 2235, count_one_third: 19, count_two_third: 19, count_max: 18
timepoint: 5, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 15, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 25, count_one_third: 20, count_two_third: 20, count_max: 15
timepoint: 35, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 45, count_one_third: 20, count_two_third: 20, count_max: 13
timepoint: 55, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 65, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 75, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 2226, count_one_third: 0, count_two_third: 0, count_max: 4
timepoint: 2236, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 6, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 16, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 26, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 36, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 46, count_one_third: 20, count_two_third: 20, count_max: 14
timepoint: 56, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 66, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 76, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 2227, count_one_third: 0, count_two_third: 0, count_max: 1
timepoint: 2237, count_one_third: 20, count_two_third: 19, count_max: 17
timepoint: 7, count_one_third: 20, count_two_third: 21, count_max: 16
timepoint: 17, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 27, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 37, count_one_third: 19, count_two_third: 20, count_max: 16
timepoint: 47, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 57, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 67, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 77, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 2228, count_one_third: 0, count_two_third: 0, count_max: 4
timepoint: 2238, count_one_third: 19, count_two_third: 20, count_max: 19
timepoint: 8, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 18, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 28, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 38, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 48, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 58, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 68, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 78, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 2229, count_one_third: 9, count_two_third: 10, count_max: 13
timepoint: 2239, count_one_third: 20, count_two_third: 20, count_max: 16
timepoint: 9, count_one_third: 20, count_two_third: 20, count_max: 18
timepoint: 19, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 29, count_one_third: 20, count_two_third: 19, count_max: 18
timepoint: 39, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 49, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 59, count_one_third: 20, count_two_third: 19, count_max: 17
timepoint: 69, count_one_third: 20, count_two_third: 20, count_max: 17
timepoint: 79, count_one_third: 20, count_two_third: 20, count_max: 17

