timepoint: 2170, count_one_third: 0, count_two_third: 6, count_max: 20
timepoint: 2180, count_one_third: 0, count_two_third: 6, count_max: 19
timepoint: 2190, count_one_third: 0, count_two_third: 6, count_max: 18
timepoint: 2200, count_one_third: 0, count_two_third: 7, count_max: 19
timepoint: 2210, count_one_third: 0, count_two_third: 11, count_max: 20
timepoint: 2220, count_one_third: 0, count_two_third: 10, count_max: 20
timepoint: 2230, count_one_third: 5, count_two_third: 19, count_max: 20
timepoint: 2240, count_one_third: 2, count_two_third: 19, count_max: 20
timepoint: 0, count_one_third: 4, count_two_third: 20, count_max: 20
timepoint: 10, count_one_third: 2, count_two_third: 17, count_max: 20
timepoint: 2171, count_one_third: 0, count_two_third: 5, count_max: 20
timepoint: 2181, count_one_third: 0, count_two_third: 7, count_max: 19
timepoint: 2191, count_one_third: 0, count_two_third: 7, count_max: 20
timepoint: 2201, count_one_third: 0, count_two_third: 9, count_max: 20
timepoint: 2211, count_one_third: 0, count_two_third: 5, count_max: 19
timepoint: 2221, count_one_third: 0, count_two_third: 10, count_max: 19
timepoint: 2231, count_one_third: 7, count_two_third: 20, count_max: 19
timepoint: 2241, count_one_third: 4, count_two_third: 18, count_max: 20
timepoint: 1, count_one_third: 1, count_two_third: 19, count_max: 21
timepoint: 11, count_one_third: 1, count_two_third: 20, count_max: 20
timepoint: 2162, count_one_third: 0, count_two_third: 0, count_max: 2
timepoint: 2172, count_one_third: 0, count_two_third: 4, count_max: 19
timepoint: 2182, count_one_third: 0, count_two_third: 7, count_max: 19
timepoint: 2192, count_one_third: 0, count_two_third: 8, count_max: 19
timepoint: 2202, count_one_third: 0, count_two_third: 13, count_max: 20
timepoint: 2212, count_one_third: 0, count_two_third: 9, count_max: 20
timepoint: 2222, count_one_third: 0, count_two_third: 9, count_max: 20
timepoint: 2232, count_one_third: 2, count_two_third: 19, count_max: 20
timepoint: 2242, count_one_third: 2, count_two_third: 18, count_max: 19
timepoint: 2, count_one_third: 1, count_two_third: 19, count_max: 20
timepoint: 2173, count_one_third: 0, count_two_third: 7, count_max: 20
timepoint: 2183, count_one_third: 0, count_two_third: 5, count_max: 20
timepoint: 2193, count_one_third: 0, count_two_third: 8, count_max: 20
timepoint: 2203, count_one_third: 0, count_two_third: 10, count_max: 19
timepoint: 2213, count_one_third: 0, count_two_third: 10, count_max: 19
timepoint: 2223, count_one_third: 0, count_two_third: 12, count_max: 19
timepoint: 2233, count_one_third: 3, count_two_third: 19, count_max: 20
timepoint: 2243, count_one_third: 0, count_two_third: 1, count_max: 1
timepoint: 3, count_one_third: 6, count_two_third: 20, count_max: 20
timepoint: 2174, count_one_third: 0, count_two_third: 8, count_max: 19
timepoint: 2184, count_one_third: 0, count_two_third: 7, count_max: 18
timepoint: 2194, count_one_third: 0, count_two_third: 5, count_max: 20
timepoint: 2204, count_one_third: 0, count_two_third: 7, count_max: 20
