timepoint: 10, count_one_third: 0, count_two_third: 12, count_max: 31
timepoint: 20, count_one_third: 1, count_two_third: 8, count_max: 29
timepoint: 30, count_one_third: 0, count_two_third: 12, count_max: 28
timepoint: 40, count_one_third: 0, count_two_third: 12, count_max: 32
timepoint: 50, count_one_third: 0, count_two_third: 13, count_max: 32
timepoint: 60, count_one_third: 1, count_two_third: 12, count_max: 33
timepoint: 70, count_one_third: 0, count_two_third: 12, count_max: 32
timepoint: 80, count_one_third: 0, count_two_third: 9, count_max: 31
timepoint: 90, count_one_third: 0, count_two_third: 15, count_max: 31
timepoint: 100, count_one_third: 1, count_two_third: 14, count_max: 31
timepoint: 11, count_one_third: 0, count_two_third: 12, count_max: 32
timepoint: 21, count_one_third: 0, count_two_third: 13, count_max: 30
timepoint: 31, count_one_third: 0, count_two_third: 11, count_max: 28
timepoint: 41, count_one_third: 0, count_two_third: 13, count_max: 32
timepoint: 51, count_one_third: 2, count_two_third: 15, count_max: 33
timepoint: 61, count_one_third: 0, count_two_third: 15, count_max: 32
timepoint: 71, count_one_third: 0, count_two_third: 14, count_max: 32
timepoint: 81, count_one_third: 0, count_two_third: 12, count_max: 30
timepoint: 91, count_one_third: 0, count_two_third: 14, count_max: 33
timepoint: 101, count_one_third: 0, count_two_third: 15, count_max: 32
timepoint: 12, count_one_third: 0, count_two_third: 10, count_max: 32
timepoint: 22, count_one_third: 0, count_two_third: 12, count_max: 29
timepoint: 32, count_one_third: 1, count_two_third: 10, count_max: 31
timepoint: 42, count_one_third: 1, count_two_third: 9, count_max: 29
timepoint: 52, count_one_third: 0, count_two_third: 12, count_max: 34
timepoint: 62, count_one_third: 0, count_two_third: 13, count_max: 33
timepoint: 72, count_one_third: 1, count_two_third: 13, count_max: 32
timepoint: 82, count_one_third: 0, count_two_third: 17, count_max: 33
timepoint: 92, count_one_third: 1, count_two_third: 13, count_max: 32
timepoint: 102, count_one_third: 0, count_two_third: 5, count_max: 7
timepoint: 13, count_one_third: 0, count_two_third: 9, count_max: 28
timepoint: 23, count_one_third: 0, count_two_third: 10, count_max: 34
timepoint: 33, count_one_third: 0, count_two_third: 9, count_max: 34
timepoint: 43, count_one_third: 0, count_two_third: 10, count_max: 28
timepoint: 53, count_one_third: 1, count_two_third: 12, count_max: 31
timepoint: 63, count_one_third: 0, count_two_third: 13, count_max: 33
timepoint: 73, count_one_third: 0, count_two_third: 9, count_max: 30
timepoint: 83, count_one_third: 0, count_two_third: 15, count_max: 33
timepoint: 93, count_one_third: 0, count_two_third: 18, count_max: 32
timepoint: 14, count_one_third: 0, count_two_third: 10, count_max: 31
timepoint: 24, count_one_third: 0, count_two_third: 8, count_max: 28
timepoint: 34, count_one_third: 0, count_two_third: 6, count_max: 29
timepoint: 44, count_one_third: 0, count_two_third: 13, count_max: 30
timepoint: 54, count_one_third: 2, count_two_third: 9, count_max: 34
timepoint: 64, count_one_third: 0, count_two_third: 6, count_max: 29
timepoint: 74, count_one_third: 0, count_two_third: 15, count_max: 33
timepoint: 84, count_one_third: 0, count_two_third: 13, count_max: 32
timepoint: 94, count_one_third: 0, count_two_third: 14, count_max: 35
timepoint: 15, count_one_third: 0, count_two_third: 8, count_max: 30
timepoint: 25, count_one_third: 0, count_two_third: 7, count_max: 28
timepoint: 35, count_one_third: 0, count_two_third: 13, count_max: 29
timepoint: 45, count_one_third: 0, count_two_third: 8, count_max: 28
timepoint: 55, count_one_third: 2, count_two_third: 14, count_max: 35
timepoint: 65, count_one_third: 0, count_two_third: 12, count_max: 32
timepoint: 75, count_one_third: 0, count_two_third: 12, count_max: 32
timepoint: 85, count_one_third: 1, count_two_third: 14, count_max: 33
timepoint: 95, count_one_third: 0, count_two_third: 12, count_max: 36
timepoint: 16, count_one_third: 0, count_two_third: 10, count_max: 28
timepoint: 26, count_one_third: 0, count_two_third: 11, count_max: 28
timepoint: 36, count_one_third: 0, count_two_third: 17, count_max: 33
timepoint: 46, count_one_third: 1, count_two_third: 11, count_max: 29
timepoint: 56, count_one_third: 0, count_two_third: 13, count_max: 33
timepoint: 66, count_one_third: 0, count_two_third: 13, count_max: 32
timepoint: 76, count_one_third: 0, count_two_third: 13, count_max: 31
timepoint: 86, count_one_third: 0, count_two_third: 10, count_max: 34
timepoint: 96, count_one_third: 1, count_two_third: 14, count_max: 33
timepoint: 7, count_one_third: 7, count_two_third: 19, count_max: 30
timepoint: 17, count_one_third: 0, count_two_third: 11, count_max: 28
timepoint: 27, count_one_third: 2, count_two_third: 12, count_max: 30
timepoint: 37, count_one_third: 3, count_two_third: 23, count_max: 36
timepoint: 47, count_one_third: 1, count_two_third: 13, count_max: 33
timepoint: 57, count_one_third: 0, count_two_third: 15, count_max: 33
timepoint: 67, count_one_third: 0, count_two_third: 14, count_max: 34
timepoint: 77, count_one_third: 1, count_two_third: 8, count_max: 32
timepoint: 87, count_one_third: 1, count_two_third: 9, count_max: 32
timepoint: 97, count_one_third: 0, count_two_third: 11, count_max: 30
timepoint: 8, count_one_third: 11, count_two_third: 21, count_max: 35
timepoint: 18, count_one_third: 0, count_two_third: 9, count_max: 32
timepoint: 28, count_one_third: 2, count_two_third: 14, count_max: 34
timepoint: 38, count_one_third: 0, count_two_third: 19, count_max: 38
timepoint: 48, count_one_third: 0, count_two_third: 13, count_max: 36
timepoint: 58, count_one_third: 0, count_two_third: 11, count_max: 33
timepoint: 68, count_one_third: 0, count_two_third: 13, count_max: 36
timepoint: 78, count_one_third: 0, count_two_third: 9, count_max: 34
timepoint: 88, count_one_third: 1, count_two_third: 14, count_max: 34
timepoint: 98, count_one_third: 2, count_two_third: 14, count_max: 32
timepoint: 9, count_one_third: 1, count_two_third: 16, count_max: 32
timepoint: 19, count_one_third: 0, count_two_third: 10, count_max: 30
