timepoint: 40, count_one_third: 16, count_two_third: 20, count_max: 20
timepoint: 50, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 60, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 70, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 80, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 90, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 100, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 2140, count_one_third: 4, count_two_third: 4, count_max: 4
timepoint: 2150, count_one_third: 19, count_two_third: 19, count_max: 20
timepoint: 2160, count_one_third: 19, count_two_third: 19, count_max: 20
timepoint: 41, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 51, count_one_third: 19, count_two_third: 20, count_max: 20
timepoint: 61, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 71, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 81, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 91, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 101, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 2141, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 2151, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 2161, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 42, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 52, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 62, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 72, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 82, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 92, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 102, count_one_third: 5, count_two_third: 5, count_max: 5
timepoint: 2142, count_one_third: 19, count_two_third: 19, count_max: 20
timepoint: 2152, count_one_third: 20, count_two_third: 19, count_max: 20
timepoint: 2162, count_one_third: 20, count_two_third: 19, count_max: 19
timepoint: 43, count_one_third: 20, count_two_third: 19, count_max: 20
timepoint: 53, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 63, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 73, count_one_third: 19, count_two_third: 20, count_max: 20
timepoint: 83, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 93, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 2143, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 2153, count_one_third: 19, count_two_third: 20, count_max: 20
timepoint: 2163, count_one_third: 19, count_two_third: 20, count_max: 20
timepoint: 44, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 54, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 64, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 74, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 84, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 94, count_one_third: 19, count_two_third: 20, count_max: 20
timepoint: 2144, count_one_third: 20, count_two_third: 19, count_max: 19
timepoint: 2154, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 2164, count_one_third: 20, count_two_third: 20, count_max: 19
timepoint: 45, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 55, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 65, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 75, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 85, count_one_third: 20, count_two_third: 20, count_max: 20
timepoint: 95, count_one_third: 20, count_two_third: 20, count_max: 20
